"00","SumAccidentes","accidenteDia"
535017,535017,FALSE
1174058,1174058,FALSE
1249508,1249508,FALSE
1272842,1272842,FALSE
1278055,1278055,FALSE
1326626,1326626,FALSE
645655,645655,FALSE
